date,price,daily_return,paper_count
2016-09-14,14.17109,0.0,3
2016-09-15,14.17109,0.0,3
2016-09-16,14.11348,-0.00406,3
2016-09-19,14.2479,0.00952,7
2016-09-20,14.37271,0.00876,10
2016-09-21,14.37271,0.0,5
2016-09-22,14.70875,0.02338,4
2016-09-23,14.66074,-0.00326,5
2016-09-26,14.43128,-0.01565,6
2016-09-27,14.60313,0.01191,6
2016-09-28,14.69915,0.00657,1
2016-09-29,14.65114,-0.00327,2
2016-09-30,14.69915,0.00328,6
2016-10-03,14.64826,-0.00346,2
2016-10-04,14.64154,-0.00046,8
2016-10-05,14.77595,0.00918,11
2016-10-06,14.72795,-0.00325,11
2016-10-07,14.73755,0.00065,6
2016-10-10,14.80667,0.00469,7
2016-10-11,14.68954,-0.00791,4
2016-10-12,14.63194,-0.00392,3
2016-10-13,14.51673,-0.00787,5
2016-10-14,14.51673,0.0,3
2016-10-17,14.56473,0.00331,8
2016-10-18,14.67994,0.00791,9
2016-10-19,14.65114,-0.00196,6
2016-10-20,14.68954,0.00262,14
2016-10-21,14.68954,0.0,3
2016-10-24,14.68954,0.0,9
2016-10-25,14.56473,-0.0085,7
2016-10-26,14.56473,0.0,6
2016-10-27,14.40151,-0.01121,5
2016-10-28,14.45912,0.004,3
2016-10-31,14.42071,-0.00266,8
2016-11-01,14.35351,-0.00466,5
2016-11-02,14.21909,-0.00936,9
2016-11-03,14.2767,0.00405,6
2016-11-04,14.2287,-0.00336,7
2016-11-07,14.38231,0.0108,7
2016-11-08,14.44952,0.00467,6
2016-11-09,14.45912,0.00066,4
2016-11-10,14.58393,0.00863,6
2016-11-11,14.56473,-0.00132,9
2016-11-14,14.62234,0.00396,5
2016-11-15,14.66074,0.00263,7
2016-11-16,14.49176,-0.01153,8
2016-11-17,14.73755,0.01696,11
2016-11-18,14.52633,-0.01433,10
2016-11-21,14.57913,0.00364,9
2016-11-22,14.55417,-0.00171,6
2016-11-23,14.58393,0.00204,8
2016-11-25,14.59353,0.00066,6
2016-11-28,14.58393,-0.00066,4
2016-11-29,14.59353,0.00066,16
2016-11-30,14.47832,-0.00789,8
2016-12-01,14.3055,-0.01194,9
2016-12-02,14.2383,-0.0047,9
2016-12-05,14.39863,0.01126,6
2016-12-06,14.36407,-0.0024,8
2016-12-07,14.52633,0.0113,8
2016-12-08,14.61273,0.00595,7
2016-12-09,14.59353,-0.00131,2
2016-12-12,14.43992,-0.01053,6
2016-12-13,14.54553,0.00731,10
2016-12-14,14.3055,-0.0165,8
2016-12-15,14.33431,0.00201,7
2016-12-16,14.2575,-0.00536,4
2016-12-19,14.35351,0.00673,7
2016-12-20,14.37271,0.00134,4
2016-12-21,14.35351,-0.00134,3
2016-12-22,14.31606,-0.00261,7
2016-12-23,14.35159,0.00248,2
2016-12-27,14.35063,-7e-05,5
2016-12-28,14.40058,0.00348,5
2016-12-29,14.34102,-0.00414,4
2016-12-30,14.41019,0.00482,8
2017-01-03,14.50626,0.00667,9
2017-01-04,14.71761,0.01457,2
2017-01-05,14.74643,0.00196,7
2017-01-06,14.76564,0.0013,3
2017-01-09,14.72721,-0.0026,5
2017-01-10,14.78485,0.00391,6
2017-01-11,14.89053,0.00715,2
2017-01-12,14.92896,0.00258,3
2017-01-13,15.01542,0.00579,8
2017-01-17,14.90974,-0.00704,6
2017-01-18,14.90014,-0.00064,6
2017-01-19,14.96738,0.00451,7
2017-01-20,15.04424,0.00513,4
2017-01-23,15.15856,0.0076,7
2017-01-24,15.37087,0.01401,7
2017-01-25,15.72632,0.02313,4
2017-01-26,15.74554,0.00122,6
2017-01-27,15.68885,-0.0036,6
2017-01-30,15.63025,-0.00374,5
2017-01-31,15.67349,0.00277,11
2017-02-01,15.82239,0.0095,4
2017-02-02,15.74554,-0.00486,5
2017-02-03,15.79357,0.00305,3
2017-02-06,15.70711,-0.00547,4
2017-02-07,15.71671,0.00061,5
2017-02-08,15.71671,0.0,1
2017-02-09,15.67828,-0.00245,4
2017-02-10,15.78396,0.00674,4
2017-02-13,15.94728,0.01035,7
2017-02-14,15.96649,0.0012,3
2017-02-15,15.95689,-0.0006,10
2017-02-16,15.94728,-0.0006,2
2017-02-17,16.04334,0.00602,4
2017-02-21,16.08657,0.00269,4
2017-02-22,16.04334,-0.00269,10
2017-02-23,16.10579,0.00389,5
2017-02-24,15.94728,-0.00984,5
2017-02-27,15.96649,0.0012,8
2017-02-28,15.93767,-0.00181,10
2017-03-01,16.19609,0.01621,14
2017-03-02,16.07216,-0.00765,10
2017-03-03,16.05775,-0.0009,6
2017-03-06,15.98571,-0.00449,12
2017-03-07,15.92614,-0.00373,9
2017-03-08,15.93767,0.00072,12
2017-03-09,15.92326,-0.0009,12
2017-03-10,16.07216,0.00935,4
2017-03-13,16.32194,0.01554,8
2017-03-14,16.24509,-0.00471,4
2017-03-15,16.38919,0.00887,11
2017-03-16,16.44683,0.00352,6
2017-03-17,16.59093,0.00876,2
2017-03-20,16.61111,0.00122,6
2017-03-21,16.45644,-0.00931,12
2017-03-22,16.45644,0.0,7
2017-03-23,16.5525,0.00584,4
2017-03-24,16.61687,0.00389,7
2017-03-27,16.63897,0.00133,5
2017-03-28,16.74465,0.00635,10
2017-03-29,16.74944,0.00029,7
2017-03-30,16.69661,-0.00315,8
2017-03-31,16.68028,-0.00098,3
2017-04-03,16.64185,-0.0023,11
2017-04-04,16.55155,-0.00543,8
2017-04-05,16.5525,6e-05,6
2017-04-06,16.43722,-0.00696,12
2017-04-07,16.52369,0.00526,6
2017-04-10,16.44683,-0.00465,10
2017-04-11,16.40841,-0.00234,7
2017-04-12,16.33155,-0.00468,5
2017-04-13,16.25469,-0.00471,2
2017-04-17,16.36037,0.0065,10
2017-04-18,16.28352,-0.0047,11
2017-04-19,16.52369,0.01475,14
2017-04-20,16.59093,0.00407,9
2017-04-21,16.5525,-0.00232,3
2017-04-24,16.86953,0.01915,11
2017-04-25,16.85416,-0.00091,9
2017-04-26,17.00402,0.00889,10
2017-04-27,17.07512,0.00418,7
2017-04-28,17.2538,0.01046,5
2017-05-01,17.28262,0.00167,4
2017-05-02,17.2538,-0.00167,7
2017-05-03,17.2442,-0.00056,6
2017-05-04,17.28262,0.00223,4
2017-05-05,17.42672,0.00834,10
2017-05-08,17.45555,0.00165,5
2017-05-09,17.40079,-0.00314,12
2017-05-10,17.3883,-0.00072,7
2017-05-11,17.31144,-0.00442,1
2017-05-12,17.37869,0.00388,8
2017-05-15,17.46515,0.00497,10
2017-05-16,17.5324,0.00385,19
2017-05-17,17.30184,-0.01315,9
2017-05-18,17.26341,-0.00222,7
2017-05-19,17.51319,0.01447,11
2017-05-22,17.69571,0.01042,8
2017-05-23,17.70532,0.00054,12
2017-05-24,17.65729,-0.00271,10
2017-05-25,17.79178,0.00762,9
2017-05-26,17.77257,-0.00108,15
2017-05-30,17.85903,0.00486,12
2017-05-31,17.87824,0.00108,13
2017-06-01,18.14723,0.01505,8
2017-06-02,18.35858,0.01165,5
2017-06-05,18.40662,0.00262,5
2017-06-06,18.31055,-0.00522,2
2017-06-07,18.34898,0.0021,10
2017-06-08,18.33937,-0.00052,13
2017-06-09,18.19527,-0.00786,8
2017-06-12,18.00313,-0.01056,8
2017-06-13,18.08959,0.0048,15
2017-06-14,18.06077,-0.00159,4
2017-06-15,17.811,-0.01383,9
2017-06-16,17.89746,0.00485,11
2017-06-19,18.1088,0.01181,9
2017-06-20,18.1088,0.0,14
2017-06-21,18.18566,0.00424,7
2017-06-22,18.17605,-0.00053,7
2017-06-23,18.19527,0.00106,2
2017-06-26,18.20007,0.00026,8
2017-06-27,18.0992,-0.00554,1
2017-06-28,18.11841,0.00106,3
2017-06-29,17.90707,-0.01166,4
2017-06-30,17.92532,0.00102,8
2017-07-03,17.83981,-0.00477,2
2017-07-05,17.8206,-0.00108,12
2017-07-06,17.73414,-0.00485,6
2017-07-07,17.89746,0.00921,6
2017-07-10,17.99352,0.00537,10
2017-07-11,18.12802,0.00747,16
2017-07-12,18.33937,0.01166,15
2017-07-13,18.32976,-0.00052,21
2017-07-14,18.50268,0.00943,5
2017-07-17,18.44984,-0.00286,15
2017-07-18,18.5219,0.00391,9
2017-07-19,18.56033,0.00207,8
2017-07-20,18.666,0.00569,5
2017-07-21,18.8101,0.00772,8
2017-07-24,18.8005,-0.00051,12
2017-07-25,18.82931,0.00153,16
2017-07-26,18.93499,0.00561,15
2017-07-27,19.01184,0.00406,21
2017-07-28,19.12712,0.00606,8
2017-07-31,19.0983,-0.00151,9
2017-08-01,19.15595,0.00302,9
2017-08-02,19.26162,0.00552,9
2017-08-03,19.2328,-0.0015,6
2017-08-04,19.2328,0.0,10
2017-08-07,19.30965,0.004,10
2017-08-08,19.28083,-0.00149,8
2017-08-09,19.30005,0.001,10
