month,paper_count
2005-01,12
2005-02,19
2005-03,9
2005-04,23
2005-05,11
2005-06,8
2005-07,15
2005-08,10
2005-09,11
2005-10,14
2005-11,12
2005-12,11
2006-01,10
2006-02,11
2006-03,6
2006-04,8
2006-05,17
2006-06,13
2006-07,12
2006-08,11
2006-09,14
2006-10,18
2006-11,23
2006-12,9
2007-01,10
2007-02,9
2007-03,11
2007-04,24
2007-05,42
2007-06,8
2007-07,13
2007-08,13
2007-09,18
2007-10,15
2007-11,14
2007-12,19
2008-01,9
2008-02,11
2008-03,18
2008-04,21
2008-05,33
2008-06,26
2008-07,19
2008-08,9
2008-09,32
2008-10,28
2008-11,19
2008-12,27
2009-01,17
2009-02,22
2009-03,47
2009-04,34
2009-05,34
2009-06,40
2009-07,35
2009-08,11
2009-09,29
2009-10,40
2009-11,19
2009-12,32
2010-01,31
2010-02,38
2010-03,35
2010-04,43
2010-05,39
2010-06,65
2010-07,36
2010-08,33
2010-09,37
2010-10,24
2010-11,26
2010-12,57
2011-01,27
2011-02,39
2011-03,45
2011-04,32
2011-05,58
2011-06,180
2011-07,63
2011-08,62
2011-09,96
2011-10,95
2011-11,37
2011-12,35
2012-01,43
2012-02,85
2012-03,89
2012-04,63
2012-05,54
2012-06,203
2012-07,177
2012-08,39
2012-09,56
2012-10,144
2012-11,52
2012-12,97
2013-01,298
2013-02,266
2013-03,499
2013-04,82
2013-05,61
2013-06,63
2013-07,69
2013-08,50
2013-09,82
2013-10,61
2013-11,52
2013-12,83
2014-01,192
2014-02,82
2014-03,45
2014-04,83
2014-05,107
2014-06,71
2014-07,76
2014-08,84
2014-09,54
2014-10,56
2014-11,76
2014-12,75
2015-01,69
2015-02,74
2015-03,78
2015-04,71
2015-05,111
2015-06,91
2015-07,86
2015-08,74
2015-09,95
2015-10,71
2015-11,102
2015-12,102
2016-01,92
2016-02,106
2016-03,103
2016-04,150
2016-05,149
2016-06,191
2016-07,161
2016-08,151
2016-09,125
2016-10,160
2016-11,183
2016-12,156
2017-01,145
2017-02,123
2017-03,205
2017-04,190
2017-05,241
2017-06,196
2017-07,260
2017-08,214
2017-09,252
2017-10,194
2017-11,318
2017-12,202
2018-01,200
2018-02,295
2018-03,262
2018-04,299
2018-05,362
2018-06,378
2018-07,329
2018-08,257
2018-09,374
2018-10,403
2018-11,444
2018-12,289
2019-01,306
2019-02,306
2019-03,347
2019-04,360
2019-05,508
2019-06,458
2019-07,371
2019-08,279
2019-09,467
2019-10,375
2019-11,448
2019-12,316
2020-01,351
2020-02,425
2020-03,373
2020-04,384
2020-05,483
2020-06,491
2020-07,499
2020-08,457
2020-09,625
2020-10,909
2020-11,776
2020-12,797
2021-01,673
2021-02,839
2021-03,932
2021-04,910
2021-05,915
2021-06,1211
2021-07,950
2021-08,868
2021-09,1026
2021-10,1153
2021-11,1037
2021-12,965
2022-01,839
2022-02,971
2022-03,1263
2022-04,1107
2022-05,1307
2022-06,1240
2022-07,1203
2022-08,936
2022-09,1149
2022-10,1635
2022-11,1363
2022-12,1058
2023-01,961
2023-02,1297
2023-03,1627
2023-04,1244
2023-05,1928
2023-06,1778
2023-07,1495
2023-08,1684
2023-09,1622
2023-10,2378
2023-11,1970
2023-12,1915
2024-01,1777
2024-02,2139
2024-03,2423
2024-04,2315
2024-05,2539
2024-06,3040
2024-07,2618
2024-08,2321
2024-09,2412
2024-10,3708
2024-11,2698
2024-12,2966
2025-01,2451
2025-02,3481
2025-03,3552
2025-04,3142
2025-05,4506
2025-06,4228
2025-07,3776
2025-08,4079
2025-09,4652
2025-10,5901
2025-11,4869
2025-12,4241
2026-01,5653
2026-02,6078
2026-03,2366
